Year,Month,Datum,Nabijeni
2017,11,2017-11-12 0:00:00,2138
2017,11,2017-11-13 0:00:00,2129
2017,11,2017-11-14 0:00:00,1788
2017,11,2017-11-15 0:00:00,1800
2017,11,2017-11-16 0:00:00,1252
2017,11,2017-11-17 0:00:00,1875
2017,11,2017-11-18 0:00:00,1316
2017,11,2017-11-19 0:00:00,992
2017,11,2017-11-20 0:00:00,258
2017,11,2017-11-21 0:00:00,522
2017,11,2017-11-22 0:00:00,719
2017,11,2017-11-23 0:00:00,599
2017,11,2017-11-24 0:00:00,1270
2017,11,2017-11-25 0:00:00,822
2017,11,2017-11-26 0:00:00,1122
2017,11,2017-11-27 0:00:00,1045
2017,11,2017-11-28 0:00:00,1158
2017,11,2017-11-29 0:00:00,708
2017,11,2017-11-30 0:00:00,1172
2017,12,2017-12-01 0:00:00,1303
2017,12,2017-12-02 0:00:00,1157
2017,12,2017-12-03 0:00:00,1178
2017,12,2017-12-04 0:00:00,691
2017,12,2017-12-05 0:00:00,805
2017,12,2017-12-06 0:00:00,923
2017,12,2017-12-07 0:00:00,1072
2017,12,2017-12-08 0:00:00,1089
2017,12,2017-12-09 0:00:00,1045
2017,12,2017-12-10 0:00:00,783
2017,12,2017-12-11 0:00:00,1137
2017,12,2017-12-12 0:00:00,912
2017,12,2017-12-13 0:00:00,454
2017,12,2017-12-14 0:00:00,993
2017,12,2017-12-15 0:00:00,1005
2017,12,2017-12-16 0:00:00,1748
2017,12,2017-12-17 0:00:00,990
2017,12,2017-12-18 0:00:00,574
2017,12,2017-12-19 0:00:00,418
2017,12,2017-12-20 0:00:00,420
2017,12,2017-12-21 0:00:00,760
2017,12,2017-12-22 0:00:00,528
2017,12,2017-12-23 0:00:00,764
2017,12,2017-12-24 0:00:00,966
2017,12,2017-12-25 0:00:00,1023
2017,12,2017-12-26 0:00:00,642
2017,12,2017-12-27 0:00:00,449
2017,12,2017-12-28 0:00:00,641
2017,12,2017-12-29 0:00:00,1096
2017,12,2017-12-30 0:00:00,670
2017,12,2017-12-31 0:00:00,619
2018,1,2018-01-01 0:00:00,657
2018,1,2018-01-02 0:00:00,561
2018,1,2018-01-03 0:00:00,340
2018,1,2018-01-04 0:00:00,575
